,MouseID,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ARC_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,BAD_N,BCL2_N,pS6_N,pCFOS_N,SYP_N,H3AcK18_N,EGR1_N,H3MeK4_N,CaNA_N,Genotype,Treatment,Behavior,class
0,3521_3,0.767988253,0.945994453,0.431228585,2.7622776960000004,4.456110295,0.21985642,0.190161527,3.8830967530000002,0.261951379,1.745553924,1.1687061509999999,0.34450970799999997,0.37950726100000004,0.290177843,0.9333496490000001,0.769782999,1.686164138,2.084189917,0.424294338,0.794093653,0.674335128,0.377630935,0.19244575,1.971365639,3.52488171,1.5559634519999999,0.264969816,0.323054332,0.8790993640000001,0.18445097100000002,0.48123674299999997,2.642600751,0.36694403700000006,0.499918421,0.41262848799999996,0.775004079,0.493636809,0.435062816,0.573992495,0.410344265,0.315875347,0.44134442799999996,0.249306575,0.200638638,1.002173142,0.16817456100000003,1.695937555,0.324330318,0.587945716,2.016187688,0.192744368,0.148350186,0.171678198,0.126086571,0.14990243,0.190970374,0.206625865,0.107637041,0.22064041199999998,0.125731772,0.462967891,0.327434806,1.531931879,2.135045237,0.148039737,1.227159837,0.917731063,0.24192833100000002,0.127505765,0.099033174,0.126086571,0.098722725,0.474543197,0.127860564,0.139701969,0.137085329,1.449485542,Control,Memantine,C/S,t-CS-m
1,294_8,0.29375513600000003,0.46240756,0.294576828,2.421322925,3.8841413310000004,0.25451931,0.19227608899999998,5.088537387,0.225349219,1.349424815,0.399958915,0.333196385,0.290468365,0.285332786,0.88537387,0.887838948,1.777937551,1.1248972879999999,0.40961380399999997,0.6661873460000001,0.334634347,0.394207067,0.187551356,1.0080115040000002,2.198644207,1.113599014,0.241372227,0.28492193899999996,0.678512736,0.172350041,0.369556286,2.186935086,0.544782251,0.511503698,0.492810189,0.839975349,0.57189811,0.341413311,0.5840180770000001,0.335661463,0.301561216,0.37654067399999996,0.44474116700000005,0.14607019300000001,1.005561048,0.129757785,1.5042016809999998,0.28954523,0.24159663899999997,0.9682402370000001,0.069822046,0.136183885,0.165101335,0.132105783,0.15583292099999999,0.179930796,0.137172516,0.100593178,0.259515571,0.135936728,0.5814384579999999,0.266312407,1.61319822,2.433391003,0.175729115,1.446984676,0.835145823,0.25,,,0.132105783,0.12790410300000002,0.469476026,,0.23714780000000002,0.228868018,1.04164607,Control,Memantine,S/C,c-SC-s
2,3505_15,0.6190730839999999,0.8401069520000001,0.31871657800000003,2.132620321,3.704456328,0.232442068,0.18912656,2.23600713,0.204099822,1.582352941,0.714616756,0.27950089100000003,0.321033868,0.274688057,0.756506239,0.453654189,1.383244207,1.7196078430000001,0.507308378,0.585204991,0.517468806,0.334046346,0.184670232,0.900534759,2.358110517,1.3962566840000001,0.245811052,0.29483066,0.742602496,0.17771836,0.38698752200000003,2.075935829,0.304812834,0.367201426,0.339215686,0.667023173,0.544206774,0.340463458,0.484848485,0.343493761,0.281639929,0.36452762899999996,0.331729055,0.152532215,0.9312256520000001,0.190140845,1.931225652,0.295325142,0.392568175,0.886874438,0.07806412900000001,0.167515733,0.175157327,0.09334731800000001,0.139946059,0.168864249,0.192088702,0.118969134,0.188642493,0.114024573,0.434522026,0.274048547,1.420437519,2.083907702,0.140395565,1.1378483670000001,0.9919089,0.177105184,0.15882529199999998,0.118819299,0.09334731800000001,0.118669464,0.398561582,0.129157926,0.18219958,0.180551393,1.7709020080000002,Ts65Dn,Memantine,C/S,t-CS-m
3,50810F_6,0.45424765200000006,0.616073378,0.334570867,2.295697751,4.393972483,0.257261411,0.20484822,3.968333697,0.249181044,1.447259227,0.6868311859999999,0.33653636200000003,0.294824197,0.311858484,0.8167722209999999,0.759991264,1.7136929459999999,1.499890806,0.46254640799999996,0.714348111,0.46189124299999995,0.471937104,0.210089539,1.027298537,2.671980782,1.10111378,0.273203756,0.279755405,0.72985368,0.21249181,0.38611050399999997,2.146756934,0.3264905,0.420615855,0.329329548,0.7510373440000001,0.601222974,0.395501201,0.523476742,0.451626993,0.316663027,0.3917886,0.242192618,0.19696583399999998,0.871111678,0.18154003100000002,0.9486231509999999,0.31527282,0.638449771,0.819862315,0.103008669,0.17618562,0.17835288100000002,0.11053034199999999,0.141381948,0.144314125,0.151835798,0.126338603,0.190973993,0.107215706,0.391509434,0.238398776,1.24872514,2.1283783780000003,0.14354921,1.1672616009999999,0.655660377,0.18345232,,,0.11053034199999999,0.103136155,0.331336053,,,,1.472335543,Control,Saline,C/S,c-CS-m
4,3490_7,0.275488379,0.469841723,0.317410523,2.45743619,4.008983317,0.238984743,0.17881078,3.1943533439999996,0.200912591,1.312419792,0.342506773,0.28903465,0.285469842,0.266932839,0.8903464990000001,0.728076429,1.696563525,1.2419791820000001,0.434621417,0.824183659,0.25780693,0.35819192899999996,0.170540425,1.446028804,2.7183801510000003,1.082988735,0.259803223,0.285897619,0.6838728079999999,0.168116355,0.35747896799999995,2.3165549690000002,0.7839726220000001,0.42920290899999997,0.40396406700000004,0.760872665,0.536717525,0.35106231299999996,0.5479823189999999,0.282047626,0.262940254,0.371167831,0.28033651800000003,0.17733120300000002,1.023963676,0.142688977,1.229378626,0.300344741,0.32388800100000004,0.8723618940000001,0.10813083300000001,0.612377029,0.195324981,0.129487934,0.15572185300000002,0.201799378,0.16295299800000002,0.10577650699999999,0.222736063,0.11300765199999999,0.610106786,0.277390061,1.505255192,2.3260741609999998,0.15345161,1.2122256790000001,0.7623812329999999,0.213234676,0.1460523,0.130244682,0.129487934,0.133019423,0.517951736,0.140670983,0.169931893,0.209871353,1.367022618,Control,Saline,S/C,t-SC-m
5,3416_14,0.392627058,0.503042233,0.251431639,1.7260200430000001,2.377594846,0.18790264899999998,0.149606299,1.582319256,0.176449535,1.022011453,0.414817466,0.20561918399999998,0.256442377,0.2317466,0.561023622,0.30583393,1.052433787,1.3029706509999999,0.396564066,0.43181818200000005,0.349498926,0.276306371,0.168217609,0.7027559059999999,1.498568361,1.026127416,0.202576951,0.221725125,0.545812455,0.14889048,0.34430923399999996,1.4291338580000001,0.260021475,0.315139585,0.29634932,0.521116679,0.446671439,0.23675733699999998,0.413922691,0.23801002100000002,0.220830351,0.301896922,0.38475304200000005,0.170561178,0.70101196,0.187304508,2.15050598,0.292180313,0.45170193200000003,0.767985281,0.185832567,0.180128795,0.174425023,0.10616375300000001,0.150321987,0.165225391,0.182152714,0.134314627,0.196872125,0.10597976099999999,0.5276908920000001,0.301195952,1.352529899,2.376632935,0.161729531,1.115915363,0.932658694,0.256301748,,0.158969641,0.10616375300000001,0.175896964,0.43459061600000004,0.227966881,,,1.5203311869999998,Ts65Dn,Memantine,C/S,t-CS-m
6,3481_9,0.267698259,0.481431335,0.311025145,2.646034816,3.960348162,0.247969052,0.19439071600000002,3.10967118,0.228626692,1.201740812,0.326112186,0.32901354,0.288974855,0.280851064,0.8860735009999999,0.869052224,1.839458414,1.217021277,0.39922630600000003,0.810638298,0.255705996,0.392263056,0.177369439,1.180851064,2.409090909,1.0468085109999998,0.250870406,0.278723404,0.7230174079999999,0.17388781399999997,0.36711798799999995,2.437911025,1.1067698259999998,0.5056092839999999,0.43481624799999996,0.809090909,0.619922631,0.350483559,0.599806576,0.286847195,0.30696325,0.393810445,0.349516441,0.179587605,1.010828246,0.14549015099999998,1.184656146,0.312406405,0.28591176100000004,1.3993779519999998,0.11035595,0.15770072599999999,0.176477364,0.134777099,0.16922013600000002,0.21149637100000002,0.179817993,0.11519410199999999,0.3007718,0.183504205,0.6089160229999999,0.29996544199999997,1.7584379680000002,2.596129478,0.17163921199999999,1.324156203,0.8261721,0.252044695,0.168183389,,0.134777099,0.142840687,0.510425066,0.16046538400000002,0.21241792399999998,,1.194562838,Control,Saline,S/C,c-SC-s
7,3507_4,0.367035111,0.569895969,0.30737971399999997,2.270156047,4.448309493,0.20903771100000001,0.16937581300000001,2.085013004,0.2039987,1.305429129,0.6778283490000001,0.31957087100000003,0.273894668,0.232282185,0.8797139140000001,0.621423927,1.660760728,1.1419050720000001,0.365084525,0.6737646290000001,0.330136541,0.335338101,0.160598179,1.183517555,3.2621911569999997,1.2039986999999999,0.247724317,0.22984395300000002,0.732607282,0.150845254,0.374837451,2.265117035,0.298439532,0.440507152,0.342815345,0.720253576,0.535273082,0.323146944,0.55006502,0.40263329,0.272756827,0.35159297799999994,0.16482444699999999,0.19604080399999999,1.1055448940000001,0.161296839,0.974851025,0.296939703,0.542167458,1.035955964,0.12352287599999999,0.149378851,0.164023836,0.12150287800000001,0.16038784,0.19977779999999998,0.184021816,0.12433087599999999,0.286940713,0.15301484699999998,0.5877184120000001,0.277850722,1.7073022930000001,2.431471569,0.141197859,1.18977881,0.851833148,0.214826785,0.150590849,,0.12150287800000001,0.132309868,0.49702050299999995,,,0.18816281199999998,1.576911423,Control,Memantine,C/S,c-CS-m
8,3481_7,0.266243465,0.465272591,0.32748319600000003,2.510828977,3.9346527260000004,0.22068708,0.18315907399999998,2.947162061,0.21807318899999997,1.171769978,0.314787155,0.316280807,0.276512323,0.261762509,0.891523525,0.817961165,1.7470126959999999,1.138722928,0.40459298,0.735810306,0.280433159,0.376026886,0.178491412,1.139096341,2.304331591,1.005227782,0.25112023899999997,0.27184466,0.71004481,0.172143391,0.361463779,2.402165795,1.0636669159999999,0.45668409299999996,0.46471247200000004,0.73935773,0.6034354000000001,0.350821509,0.5715085879999999,0.288461538,0.282860344,0.381441374,0.341859597,0.176403728,0.993975904,0.148670152,1.1716299159999999,0.29552170899999997,0.287338031,1.14594226,0.108320073,0.15367128900000002,0.18095021600000002,0.13457604,0.16560582,0.201295749,0.16878836100000003,0.115708115,0.294044101,0.160604683,0.581382132,0.291088884,1.707206183,2.589224824,0.168333712,1.288247329,0.804273699,0.257672198,0.167992726,,0.13457604,0.13127983599999998,0.491929984,0.155944533,0.22516481,,1.2037963170000001,Control,Saline,S/C,c-SC-s
9,50810C_6,0.507273405,0.880082059,0.374207385,2.533196568,1.991141365,0.209716524,0.164304364,2.330380455,0.217456173,1.4157030959999999,0.642577396,0.340171578,0.339332339,0.269955241,0.874393883,0.741048116,1.7978366280000002,2.282637076,0.424654979,0.7443118240000001,0.382786274,0.340358075,0.15889593400000002,1.670925028,3.77769489,1.3881947030000001,0.24571055600000002,0.31629988800000003,0.859101082,0.15945542699999998,0.511003357,2.488343902,0.35154793,0.427638941,0.293174189,0.711208504,0.571708318,0.38409175700000003,0.516505035,0.384464752,0.277415144,0.441160015,0.201883626,0.23659244,1.1038194959999998,0.167772698,2.080027528,0.353733471,0.49304429,1.982745908,0.103622868,0.133510298,0.178636386,0.10937423199999999,0.160841567,0.147126776,0.228088286,0.10676891300000001,0.18419112199999998,0.121122745,0.493388389,0.295580789,1.5853610580000002,2.17259008,0.125989284,1.137000442,0.84712186,0.188320307,0.12092611699999999,0.093938947,0.10937423199999999,0.103966967,0.545445608,0.08995723300000001,0.122892395,0.12505530199999998,1.814629111,Ts65Dn,Saline,C/S,c-CS-m
